status,diet,common.name,spp,yr.1973,yr.1974,yr.1975,yr.1976,yr.1977,yr.1978,yr.1979,yr.1980,yr.1981,yr.1982,yr.1983,yr.1984,yr.1985,yr.1986,yr.1987,yr.1988,yr.1989,yr.1990,yr.1991,yr.1992,yr.1993,yr.1994,yr.1995,yr.1996,yr.1997,yr.1998,yr.1999,yr.2000,yr.2001,yr.2002,yr.2003,yr.2004,yr.2005,yr.2006,yr.2007,yr.2008,yr.2009,yr.2010,yr.2011,yr.2012
migrant,NA,Merlin,Falco columbarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
migrant,NA,Bicknell's Thrush,Catharus bicknelli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
migrant,NA,Ovenbird,Seiurus aurocapilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,51,29,35,34,18,44,38,33,34,22,31,41,30,16,20,24,23,11,8,18,20,20,13
migrant,NA,Worm-eating Warbler,Helmitheros vermivorum,3,4,1,1,NA,4,NA,3,1,2,0,0,2,1,0,1,4,2,6,5,2,3,8,7,10,3,7,5,5,1,3,0,5,6,2,0,2,0,0,1
migrant,NA,Northern Waterthrush,Parkesia noveboracensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,4,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
migrant,NA,Blue-winged Warbler,Vermivora cyanoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
migrant,NA,Black-and-white Warbler,Mniotilta varia,5,6,2,4,NA,4,NA,8,2,4,5,5,7,7,4,3,35,52,60,67,38,38,50,56,34,41,43,44,45,26,26,15,16,26,12,5,14,12,12,14
migrant,NA,Prothonotary Warbler,Protonotaria citrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,3,0,0,0,0
migrant,NA,Swainson's Warbler,Limnothlypis swainsonii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0
migrant,NA,Kentucky Warbler,Geothlypis formosa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
migrant,NA,Hooded Warbler,Setophaga citrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,8,4,1,2,3,2,0,2,2,2,5,0,0,2,3,0,1,0,13,3,2,0
migrant,NA,American Redstart,Setophaga ruticilla,6,7,3,6,NA,5,NA,4,5,8,9,5,4,3,4,1,13,21,19,30,11,9,29,21,7,34,18,16,24,16,23,14,9,7,10,10,11,8,2,5
migrant,NA,Cape May Warbler,Setophaga tigrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,9,0,0,0,3,0,0,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0
migrant,NA,Northern Parula,Setophaga americana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,7,8,7,4,7,1,2,22,15,17,15,10,1,6,5,7,7,5,6,6,1,1
migrant,NA,Magnolia Warbler,Setophaga magnolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,1,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0
migrant,NA,Black-throated Blue Warbler,Setophaga caerulescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migrant,NA,Prairie Warbler,Setophaga discolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,4,12,4,10,5,2,6,21,19,16,13,10,12,13,8,7,4,1,4,6,1,3
migrant,NA,Baltimore Oriole,Icterus galbula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
migrant,NA,Indigo Bunting,Passerina cyanea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
migrant,NA,Rose-breasted Grosbeak,Pheucticus ludovicianus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,2,0,0,2,0,12,12,0,0,4,1,1,0,0,1,3,0,0
resident,Frugivores,Zenaida Dove,NA,0,0,0,1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Common Ground-dove,NA,16,1,7,4,NA,6,NA,0,4,0,3,1,0,1,0,3,0,0,0,0,0,1,1,0,13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Key West Quail Dov,NA,0,0,0,0,NA,2,NA,1,0,0,1,0,6,1,0,0,1,0,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Pearly-eyed Thrasher,NA,4,5,8,5,NA,11,NA,8,8,16,9,8,12,8,8,5,22,6,4,6,5,5,10,3,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Red-legged Thrush,NA,2,2,5,0,NA,4,NA,10,5,5,6,3,8,6,3,3,3,5,4,4,5,4,6,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Antillean Euphonia,NA,0,0,1,0,NA,0,NA,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Puerto Rican Stripe-headed Tanager,NA,6,2,1,0,NA,1,NA,2,1,5,0,1,1,0,4,1,0,2,1,1,0,0,0,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Puerto Rican Bullfinch,NA,22,6,8,6,NA,18,NA,13,16,29,13,37,19,13,20,11,9,17,16,11,23,13,16,15,30,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Black-faced Grassquit,NA,6,0,0,1,NA,6,NA,4,1,2,5,1,0,1,1,0,1,1,3,1,0,3,1,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Yellow-faced Grassquit,NA,0,0,0,1,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Frugivores,Northern Mockingbird,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Nectarivores,Antillean Mango,NA,3,1,2,2,NA,0,NA,0,1,0,1,0,2,0,1,1,22,0,0,1,5,2,1,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Nectarivores,Puero Rican Emerald,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Nectarivores,Bananaquit,NA,53,33,18,9,NA,17,NA,16,18,27,29,34,8,25,17,14,21,34,15,31,39,37,10,9,36,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Mangrove Cuckoo,NA,0,0,0,0,NA,0,NA,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Puerto Rican Lizard Cuckoo,NA,1,0,0,1,NA,0,NA,1,2,1,1,1,1,10,1,0,3,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Puerto Rican Vireo,NA,4,2,1,0,NA,2,NA,2,4,3,0,3,2,3,0,0,0,0,2,1,3,2,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Adelaide's Warbler,NA,5,6,1,1,NA,7,NA,3,7,8,7,3,3,5,1,1,2,4,1,5,6,2,0,2,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Black-cowled Oriole,NA,1,1,2,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Gleaners,Troupial,NA,4,0,2,4,NA,1,NA,0,0,2,1,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Flycatchers,Gray Kingbird,NA,0,0,0,0,NA,1,NA,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Flycatchers,Puero Rican Flycatcher,NA,6,5,8,11,NA,4,NA,2,3,5,6,2,6,1,3,2,5,3,2,5,7,4,3,6,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Flycatchers,Puerto Rican Tody,NA,6,6,1,1,NA,1,NA,4,1,3,3,4,4,5,0,5,6,1,3,3,6,6,2,1,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Flycatchers,Puerto Rican Pewee,NA,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
resident,Insectivores-Elaenia,Carribean Elaenia,NA,0,0,0,0,NA,0,NA,1,6,9,2,10,3,5,12,2,25,19,17,11,14,20,9,17,11,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
